id,s41,s42,s43,trust_pomp,trust_bin,trust_c5,trust_c7,cohort,female,edu_years,hukou,party,region,subj_class,econ_subj,fairness,social_trust,si_med,si_pen,si_any,empstat,statsec,contract,lninc,internet,know_lawyer,know_police,voted,year,wt
2.0,4,7,18,,,,,2.0,0.0,15.0,2.0,0.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,,,11.156265258789062,5.0,,,0.0,2017.0,0.927544355392456
3.0,4,7,18,,,,,5.0,1.0,16.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,10.819798469543457,5.0,,,0.0,2017.0,1.3349579572677612
4.0,4,7,14,,,,,1.0,0.0,6.0,1.0,0.0,1.0,4.0,3.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,,9.210440635681152,1.0,,,0.0,2017.0,0.19139741361141205
5.0,4,7,20,,,,,2.0,0.0,12.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,11.002116203308105,4.0,,,1.0,2017.0,0.6957347989082336
8.0,4,7,19,0.699999988079071,1.0,1.0,1.0,6.0,1.0,16.0,2.0,0.0,1.0,5.0,4.0,3.0,4.0,1.0,0.0,1.0,4.0,,,7.601402282714844,5.0,1.0,1.0,0.0,2017.0,1.3349579572677612
9.0,4,7,19,,,,,5.0,1.0,16.0,2.0,0.0,1.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,,,0.0,5.0,,,0.0,2017.0,1.8027513027191162
10.0,4,7,19,,,,,5.0,1.0,16.0,2.0,0.0,1.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,11.918396949768066,5.0,0.0,0.0,0.0,2017.0,0.9013756513595581
11.0,4,7,16,,,,,5.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,4.0,,,10.596659660339355,4.0,,,0.0,2017.0,1.295120120048523
12.0,4,7,14,,,,,4.0,0.0,15.0,2.0,1.0,1.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,11.512935638427734,5.0,,,0.0,2017.0,1.4616329669952393
15.0,4,7,21,,,,,4.0,0.0,16.0,2.0,1.0,1.0,5.0,2.0,4.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0,11.695255279541016,5.0,,,0.0,2017.0,0.4872110188007355
16.0,4,7,14,,,,,3.0,1.0,12.0,2.0,0.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,,,9.90353775024414,4.0,0.0,0.0,0.0,2017.0,1.0785585641860962
18.0,4,7,21,,,,,1.0,0.0,9.0,2.0,0.0,1.0,4.0,3.0,4.0,,1.0,1.0,1.0,4.0,,,,3.0,,,0.0,2017.0,0.19139741361141205
23.0,4,7,18,1.0,1.0,1.0,1.0,6.0,1.0,16.0,1.0,0.0,1.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,11.512935638427734,4.0,1.0,0.0,0.0,2017.0,0.6674789786338806
25.0,4,7,19,,,,,4.0,0.0,12.0,1.0,0.0,1.0,10.0,3.0,4.0,5.0,1.0,1.0,1.0,3.0,0.0,,11.512935638427734,5.0,,,0.0,2017.0,1.295120120048523
26.0,4,7,20,0.6000000238418579,1.0,1.0,0.0,3.0,0.0,12.0,2.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,10.308985710144043,4.0,0.0,0.0,1.0,2017.0,1.0436021089553833
27.0,4,7,14,0.8999999761581421,1.0,1.0,1.0,5.0,0.0,16.0,2.0,0.0,1.0,5.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,11.407575607299805,5.0,1.0,1.0,0.0,2017.0,0.4872110188007355
28.0,4,7,14,,,,,3.0,1.0,15.0,2.0,0.0,1.0,8.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,10.819798469543457,4.0,,,1.0,2017.0,0.4292076826095581
29.0,4,7,21,,,,,5.0,1.0,16.0,2.0,0.0,1.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,,1.0,12.206077575683594,5.0,,,0.0,2017.0,2.6699159145355225
30.0,4,7,21,,,,,2.0,0.0,15.0,2.0,0.0,1.0,6.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,,12.206077575683594,4.0,1.0,1.0,1.0,2017.0,0.927544355392456
31.0,4,7,18,0.800000011920929,1.0,1.0,1.0,6.0,0.0,12.0,2.0,0.0,1.0,5.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,11.512935638427734,5.0,0.0,0.0,0.0,2017.0,1.4484584331512451
32.0,4,7,135,,,,,5.0,0.0,12.0,2.0,0.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,10.71444034576416,5.0,,,1.0,2017.0,0.4317067265510559
33.0,4,7,14,,,,,2.0,1.0,12.0,2.0,0.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,10.491301536560059,1.0,,,1.0,2017.0,0.808918833732605
34.0,4,7,18,,,,,4.0,0.0,9.0,1.0,0.0,1.0,3.0,2.0,1.0,4.0,1.0,,,2.0,,0.0,,3.0,,,1.0,2017.0,0.4317067265510559
35.0,4,7,16,,,,,5.0,1.0,15.0,1.0,0.0,1.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,11.512935638427734,5.0,,,0.0,2017.0,0.9013756513595581
36.0,4,7,22,,,,,5.0,1.0,15.0,1.0,0.0,1.0,5.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,11.289793968200684,4.0,,,0.0,2017.0,2.6699159145355225
37.0,4,7,16,,,,,6.0,0.0,16.0,2.0,0.0,1.0,6.0,,2.0,3.0,1.0,0.0,1.0,4.0,,,6.908754825592041,5.0,,,0.0,2017.0,5.47061824798584
39.0,4,7,15,,,,,5.0,1.0,9.0,1.0,0.0,1.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,,5.0,,,0.0,2017.0,0.5809220671653748
40.0,4,7,21,0.30000001192092896,0.0,0.0,0.0,2.0,0.0,16.0,2.0,0.0,1.0,3.0,,4.0,5.0,1.0,1.0,1.0,3.0,,,11.512935638427734,5.0,1.0,1.0,0.0,2017.0,0.38432714343070984
41.0,4,7,16,0.800000011920929,1.0,1.0,1.0,3.0,1.0,12.0,1.0,0.0,1.0,1.0,3.0,5.0,4.0,1.0,1.0,1.0,2.0,,1.0,10.596659660339355,2.0,0.0,1.0,1.0,2017.0,0.5392792820930481
42.0,4,7,19,0.800000011920929,1.0,1.0,1.0,3.0,1.0,15.0,2.0,0.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,,,10.491301536560059,4.0,0.0,1.0,0.0,2017.0,1.7168307304382324
